AccountCode,AccountName,PayElementName,ToolTypePayment,CabinetOfficeReturns
51116001,Bonuses - Permanent UK Staff,BIS Special Merit Bonus,Do Not Use In Forecast,N
51113001,Employer's Pension Costs - Permanent UK Staff,BIS O CLASSIC ERS OCP Contribution,Superannuation,Y
51114001,Allowances - Permanent UK Staff,BIS Arrears Enhancement Prog and Prjt Mgmt,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,BIS Mark Time Pen,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,GSSC Arrears Statutory Sick Pay,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Arrears Misc Taxable Allowance,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Enhancement Cash Pens,Basic Pay,Y
51113001,Employer's Pension Costs - Permanent UK Staff,BIS O NUVOS ERS OCP Contribution,Superannuation,Y
51114001,Allowances - Permanent UK Staff,BIS London Enhancement Statistician,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,GSSC Arrears Career Break Leave,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Flexible Benefit,Basic Pay,Y
